"","Geneid","TPM"
"1","LOC_Os01g01050",33.8964032136063
"2","LOC_Os01g01060",407.248749268668
"3","LOC_Os01g01070",45.1663788613547
"4","LOC_Os01g01080",169.507552413622
"5","LOC_Os01g01090",0.0222037569182077
"6","LOC_Os01g01100",0.015028774420675
"7","LOC_Os01g01110",0.651535530183721
"8","LOC_Os01g01115",9.08449787609062
"9","LOC_Os01g01120",89.7445809935842
"10","LOC_Os01g01130",65.0208996809934
"11","LOC_Os01g01140",0
"12","LOC_Os01g01150",69.180285371573
"13","LOC_Os01g01160",62.346286776783
"14","LOC_Os01g01170",27.1152996087251
"15","LOC_Os01g01180",11.8971191874989
"16","LOC_Os01g01190",94.1311310321991
"17","LOC_Os01g01200",0.634293200697259
"18","LOC_Os01g01210",1.31909162526224
"19","LOC_Os01g01230",0.0653534897960299
"20","LOC_Os01g01240",0.0385202243187356
"21","LOC_Os01g01250",0.216832331129113
"22","LOC_Os01g01260",0.279858311634841
"23","LOC_Os01g01270",0.900237404159463
"24","LOC_Os01g01280",72.8135500648699
"25","LOC_Os01g01290",137.516755211178
"26","LOC_Os01g01295",48.4880466933104
"27","LOC_Os01g01302",102.805516758595
"28","LOC_Os01g01307",482.210372108735
"29","LOC_Os01g01312",25.8464138705903
"30","LOC_Os01g01320",0
"31","LOC_Os01g01330",13.243439104704
"32","LOC_Os01g01340",1491.74324561437
"33","LOC_Os01g01350",65.3260628598556
"34","LOC_Os01g01360",14.193276124006
"35","LOC_Os01g01369",117.422176954997
"36","LOC_Os01g01380",13.8383468019295
"37","LOC_Os01g01390",118.251799664117
"38","LOC_Os01g01400",8.8880467271611
"39","LOC_Os01g01410",75.333890295467
"40","LOC_Os01g01420",89.5428092930095
"41","LOC_Os01g01430",11.1334365608337
"42","LOC_Os01g01440",0.473190977666069
"43","LOC_Os01g01450",391.248892655607
"44","LOC_Os01g01460",0
"45","LOC_Os01g01470",469.638649066473
"46","LOC_Os01g01484",60.0417049971358
"47","LOC_Os01g01500",0
